year,month,hour,isorto,co2_eq_kg_per_MWh
2023,4,4,CAISO,498.3144651
2023,4,4,ERCOT,435.1266739
2023,4,4,ISONE,374.2057858
2023,4,4,MISO,573.3604492
2023,4,4,NYISO,417.8657974
2023,4,4,PJM,473.9481241
2023,4,4,SPP,646.3514626
2023,4,5,CAISO,406.1615545
2023,4,5,ERCOT,612.8889319
2023,4,5,ISONE,441.9621871
2023,4,5,MISO,541.1921575
2023,4,5,NYISO,395.5970732
2023,4,5,PJM,417.1507925
2023,4,5,SPP,628.3107397
2023,4,6,CAISO,368.2302932
2023,4,6,ERCOT,399.3591068
2023,4,6,ISONE,381.4881596
2023,4,6,MISO,489.1275791
2023,4,6,NYISO,377.8254278
2023,4,6,PJM,538.0345155
2023,4,6,SPP,646.3134946
2023,4,7,CAISO,397.3157296
2023,4,7,ERCOT,477.1433688
2023,4,7,ISONE,374.3330702
2023,4,7,MISO,488.0755143
2023,4,7,NYISO,337.4013528
2023,4,7,PJM,470.386098
2023,4,7,SPP,622.0376594
2023,4,8,CAISO,331.8263395
2023,4,8,ERCOT,458.4343943
2023,4,8,ISONE,424.8520302
2023,4,8,MISO,507.3107272
2023,4,8,NYISO,376.4586175
2023,4,8,PJM,499.2317042
2023,4,8,SPP,592.7221505
2023,4,9,CAISO,299.7872914
2023,4,9,ERCOT,429.3068237
2023,4,9,ISONE,436.6416065
2023,4,9,MISO,512.8171282
2023,4,9,NYISO,359.450862
2023,4,9,PJM,498.8396372
2023,4,9,SPP,637.5075719
2023,4,10,CAISO,309.2227515
2023,4,10,ERCOT,479.2566824
2023,4,10,ISONE,389.5568397
2023,4,10,MISO,574.0019133
2023,4,10,NYISO,415.5193457
2023,4,10,PJM,563.7127926
2023,4,10,SPP,631.260454
2023,4,11,CAISO,312.0540005
2023,4,11,ERCOT,521.5150123
2023,4,11,ISONE,420.7127171
2023,4,11,MISO,642.3912116
2023,4,11,NYISO,443.14892
2023,4,11,PJM,616.6278902
2023,4,11,SPP,608.1153999
2023,4,12,CAISO,353.0486955
2023,4,12,ERCOT,602.6013497
2023,4,12,ISONE,401.0313204
2023,4,12,MISO,591.5628202
2023,4,12,NYISO,448.3837358
2023,4,12,PJM,532.596642
2023,4,12,SPP,581.4741897
2023,4,13,CAISO,447.0908313
2023,4,13,ERCOT,517.6400811
2023,4,13,ISONE,391.1893338
2023,4,13,MISO,621.2422754
2023,4,13,NYISO,438.6289538
2023,4,13,PJM,568.7772407
2023,4,13,SPP,614.6905611
2023,4,14,CAISO,454.3345784
2023,4,14,ERCOT,512.5920572
2023,4,14,ISONE,432.7202609
2023,4,14,MISO,641.3086096
2023,4,14,NYISO,421.1154619
2023,4,14,PJM,511.6801208
2023,4,14,SPP,644.9403755
2023,4,15,CAISO,379.5795094
2023,4,15,ERCOT,548.9211243
2023,4,15,ISONE,372.3981384
2023,4,15,MISO,669.4622715
2023,4,15,NYISO,423.2453737
2023,4,15,PJM,547.5615872
2023,4,15,SPP,621.3253444
2023,4,16,CAISO,398.6708902
2023,4,16,ERCOT,552.3418071
2023,4,16,ISONE,407.3962639
2023,4,16,MISO,651.6205789
2023,4,16,NYISO,407.1517007
2023,4,16,PJM,590.3083316
2023,4,16,SPP,649.892249
2023,4,17,CAISO,367.0915545
2023,4,17,ERCOT,519.3599048
2023,4,17,ISONE,390.9712563
2023,4,17,MISO,590.3774387
2023,4,17,NYISO,454.1476938
2023,4,17,PJM,502.0128615
2023,4,17,SPP,637.9050402
2023,4,18,CAISO,223.1932328
2023,4,18,ERCOT,526.8486959
2023,4,18,ISONE,426.6895429
2023,4,18,MISO,564.6243908
2023,4,18,NYISO,418.004663
2023,4,18,PJM,522.1836532
2023,4,18,SPP,600.2617048
2023,4,19,CAISO,363.3364895
2023,4,19,ERCOT,519.8737693
2023,4,19,ISONE,406.3690943
2023,4,19,MISO,579.661066
2023,4,19,NYISO,394.4254707
2023,4,19,PJM,519.8009577
2023,4,19,SPP,688.1556178
2023,4,20,CAISO,375.6156897
2023,4,20,ERCOT,562.2143727
2023,4,20,ISONE,395.7160321
2023,4,20,MISO,634.1297495
2023,4,20,NYISO,408.318666
2023,4,20,PJM,626.9471938
2023,4,20,SPP,619.6524414
2023,4,21,CAISO,385.0796936
2023,4,21,ERCOT,531.8757158
2023,4,21,ISONE,394.5011999
2023,4,21,MISO,571.4959152
2023,4,21,NYISO,426.0339115
2023,4,21,PJM,486.2158464
2023,4,21,SPP,622.3932747
2023,4,22,CAISO,339.90978
2023,4,22,ERCOT,534.0289758
2023,4,22,ISONE,359.6981727
2023,4,22,MISO,692.8280026
2023,4,22,NYISO,356.7461835
2023,4,22,PJM,454.4855983
2023,4,22,SPP,637.4839331
2023,4,23,CAISO,423.9859749
2023,4,23,ERCOT,540.7468242
2023,4,23,ISONE,418.1669271
2023,4,23,MISO,643.3918957
2023,4,23,NYISO,420.216734
2023,4,23,PJM,509.1546172
2023,4,23,SPP,582.6910683
2023,5,0,CAISO,326.1491123
2023,5,0,ERCOT,486.5370247
2023,5,0,ISONE,443.2709932
2023,5,0,MISO,729.8897925
2023,5,0,NYISO,265.7337491
2023,5,0,PJM,549.5080303
2023,5,0,SPP,645.8530055
2023,5,1,CAISO,383.7462463
2023,5,1,ERCOT,598.7618131
2023,5,1,ISONE,387.5879412
2023,5,1,MISO,708.2559883
2023,5,1,NYISO,436.4322242
2023,5,1,PJM,527.9268126
2023,5,1,SPP,645.9139315
2023,5,2,CAISO,410.6609606
2023,5,2,ERCOT,558.9615123
2023,5,2,ISONE,449.4051306
2023,5,2,MISO,663.3048943
2023,5,2,NYISO,429.7267324
2023,5,2,PJM,585.5080849
2023,5,2,SPP,638.911737
2023,5,3,CAISO,328.7788249
2023,5,3,ERCOT,506.163279
2023,5,3,ISONE,418.5061715
2023,5,3,MISO,627.6214078
2023,5,3,NYISO,369.9684583
2023,5,3,PJM,481.6605492
2023,5,3,SPP,573.2333872
2023,5,4,CAISO,547.458448
2023,5,4,ERCOT,491.0823261
2023,5,4,ISONE,413.8071932
2023,5,4,MISO,602.2808284
2023,5,4,NYISO,386.3010317
2023,5,4,PJM,428.7996731
2023,5,4,SPP,643.8000009
2023,5,5,CAISO,435.2998602
2023,5,5,ERCOT,602.888408
2023,5,5,ISONE,363.5367183
2023,5,5,MISO,566.7415409
2023,5,5,NYISO,355.2034356
2023,5,5,PJM,502.7667235
2023,5,5,SPP,715.1298382
2023,5,6,CAISO,358.3302188
2023,5,6,ERCOT,555.827681
2023,5,6,ISONE,365.3276048
2023,5,6,MISO,455.0705824
2023,5,6,NYISO,320.3727151
2023,5,6,PJM,489.8637066
2023,5,6,SPP,543.7634903
2023,5,7,CAISO,382.9787748
2023,5,7,ERCOT,500.8029389
2023,5,7,ISONE,298.6127816
2023,5,7,MISO,497.2059925
2023,5,7,NYISO,337.8146636
2023,5,7,PJM,345.2236667
2023,5,7,SPP,553.8290236
2023,5,8,CAISO,249.216692
2023,5,8,ERCOT,503.8031225
2023,5,8,ISONE,369.775286
2023,5,8,MISO,511.5534462
2023,5,8,NYISO,352.5922306
2023,5,8,PJM,433.6599739
2023,5,8,SPP,554.4615883
2023,5,9,CAISO,386.3729164
2023,5,9,ERCOT,545.9904923
2023,5,9,ISONE,448.0591212
2023,5,9,MISO,551.6534448
2023,5,9,NYISO,367.4153457
2023,5,9,PJM,450.4364339
2023,5,9,SPP,605.5202963
2023,5,10,CAISO,316.1203758
2023,5,10,ERCOT,571.2061352
2023,5,10,ISONE,408.5632237
2023,5,10,MISO,576.173575
2023,5,10,NYISO,365.3208681
2023,5,10,PJM,491.3502263
2023,5,10,SPP,662.4441297
2023,5,11,CAISO,387.9398891
2023,5,11,ERCOT,579.7274492
2023,5,11,ISONE,350.0275773
2023,5,11,MISO,665.486984
2023,5,11,NYISO,384.0970418
2023,5,11,PJM,493.0820111
2023,5,11,SPP,627.5125251
2023,5,12,CAISO,289.8093425
2023,5,12,ERCOT,593.7567437
2023,5,12,ISONE,369.2342423
2023,5,12,MISO,629.0663358
2023,5,12,NYISO,399.5491892
2023,5,12,PJM,455.5691953
2023,5,12,SPP,597.5148887
2023,5,13,CAISO,398.7646444
2023,5,13,ERCOT,578.4795798
2023,5,13,ISONE,402.5818064
2023,5,13,MISO,609.472392
2023,5,13,NYISO,383.0073072
2023,5,13,PJM,496.3578083
2023,5,13,SPP,641.6575295
2023,5,14,CAISO,413.0317937
2023,5,14,ERCOT,537.9112993
2023,5,14,ISONE,360.3242711
2023,5,14,MISO,638.3485326
2023,5,14,NYISO,339.8175128
2023,5,14,PJM,532.5358302
2023,5,14,SPP,618.9754599
2023,5,15,CAISO,446.8278212
2023,5,15,ERCOT,557.146759
2023,5,15,ISONE,349.8480485
2023,5,15,MISO,630.7372998
2023,5,15,NYISO,361.2338332
2023,5,15,PJM,461.5786063
2023,5,15,SPP,666.3129371
2023,5,16,CAISO,323.0609578
2023,5,16,ERCOT,571.0210452
